"","year","month","value","units","date"
"347",1986,8,217.900940981132,"Terawatthours",1986.58333333333
"348",1986,7,234.867901012626,"Terawatthours",1986.5
"349",1986,6,208.167696334176,"Terawatthours",1986.41666666667
"350",1986,5,191.069661725535,"Terawatthours",1986.33333333333
"351",1986,4,180.16792502688,"Terawatthours",1986.25
"352",1986,3,190.554455412481,"Terawatthours",1986.16666666667
"353",1986,2,186.172762235228,"Terawatthours",1986.08333333333
"354",1986,1,210.513904873657,"Terawatthours",1986
"355",1985,12,212.185640086396,"Terawatthours",1985.91666666667
"356",1985,11,186.237470561954,"Terawatthours",1985.83333333333
"357",1985,10,188.50565034872,"Terawatthours",1985.75
"358",1985,9,195.966021786443,"Terawatthours",1985.66666666667
"359",1985,8,218.755488022233,"Terawatthours",1985.58333333333
"360",1985,7,219.448930316153,"Terawatthours",1985.5
"361",1985,6,198.836742279487,"Terawatthours",1985.41666666667
"362",1985,5,190.562467582493,"Terawatthours",1985.33333333333
"363",1985,4,179.010624685151,"Terawatthours",1985.25
"364",1985,3,188.75232909318,"Terawatthours",1985.16666666667
"365",1985,2,191.882671736123,"Terawatthours",1985.08333333333
"366",1985,1,220.554979064574,"Terawatthours",1985
"367",1984,12,193.568109228995,"Terawatthours",1984.91666666667
"368",1984,11,184.25851193829,"Terawatthours",1984.83333333333
"369",1984,10,184.781086586266,"Terawatthours",1984.75
"370",1984,9,188.907970909287,"Terawatthours",1984.66666666667
"371",1984,8,221.892704039788,"Terawatthours",1984.58333333333
"372",1984,7,214.153628378823,"Terawatthours",1984.5
"373",1984,6,202.979466299135,"Terawatthours",1984.41666666667
"374",1984,5,186.1420031588,"Terawatthours",1984.33333333333
"375",1984,4,175.344657649662,"Terawatthours",1984.25
"376",1984,3,193.718450522881,"Terawatthours",1984.16666666667
"377",1984,2,183.493042285409,"Terawatthours",1984.08333333333
"378",1984,1,209.704367318992,"Terawatthours",1984
"379",1983,12,205.481354356778,"Terawatthours",1983.91666666667
"380",1983,11,177.074642537119,"Terawatthours",1983.83333333333
"381",1983,10,177.04180308064,"Terawatthours",1983.75
