"","series_id","units","value","date","year","month","change_first_order","change_second_order"
"224","TOTAL.OGNRPUS.M","Number of Rigs",803,1991-08-01,1991,8,-0.0486,0.833962264150943
"225","TOTAL.OGNRPUS.M","Number of Rigs",775,1991-09-01,1991,9,-0.0349,-0.281893004115226
"226","TOTAL.OGNRPUS.M","Number of Rigs",795,1991-10-01,1991,10,0.0258,-1.73925501432665
"227","TOTAL.OGNRPUS.M","Number of Rigs",808,1991-11-01,1991,11,0.0164,-0.364341085271318
"228","TOTAL.OGNRPUS.M","Number of Rigs",796,1991-12-01,1991,12,-0.0149,-1.90853658536585
"229","TOTAL.OGNRPUS.M","Number of Rigs",710,1992-01-01,1992,1,-0.108,6.24832214765101
"230","TOTAL.OGNRPUS.M","Number of Rigs",669,1992-02-01,1992,2,-0.0577,-0.465740740740741
"231","TOTAL.OGNRPUS.M","Number of Rigs",648,1992-03-01,1992,3,-0.0314,-0.45580589254766
"232","TOTAL.OGNRPUS.M","Number of Rigs",642,1992-04-01,1992,4,-0.0093,-0.703821656050955
"233","TOTAL.OGNRPUS.M","Number of Rigs",638,1992-05-01,1992,5,-0.0062,-0.333333333333333
"234","TOTAL.OGNRPUS.M","Number of Rigs",621,1992-06-01,1992,6,-0.0266,3.29032258064516
"235","TOTAL.OGNRPUS.M","Number of Rigs",676,1992-07-01,1992,7,0.0886,-4.33082706766917
"236","TOTAL.OGNRPUS.M","Number of Rigs",686,1992-08-01,1992,8,0.0148,-0.832957110609481
"237","TOTAL.OGNRPUS.M","Number of Rigs",717,1992-09-01,1992,9,0.0452,2.05405405405405
"238","TOTAL.OGNRPUS.M","Number of Rigs",803,1992-10-01,1992,10,0.1199,1.65265486725664
"239","TOTAL.OGNRPUS.M","Number of Rigs",882,1992-11-01,1992,11,0.0984,-0.179316096747289
"240","TOTAL.OGNRPUS.M","Number of Rigs",926,1992-12-01,1992,12,0.0499,-0.492886178861789
"241","TOTAL.OGNRPUS.M","Number of Rigs",824,1993-01-01,1993,1,-0.1102,-3.20841683366733
"242","TOTAL.OGNRPUS.M","Number of Rigs",684,1993-02-01,1993,2,-0.1699,0.541742286751361
"243","TOTAL.OGNRPUS.M","Number of Rigs",611,1993-03-01,1993,3,-0.1067,-0.371983519717481
"244","TOTAL.OGNRPUS.M","Number of Rigs",612,1993-04-01,1993,4,0.0016,-1.01499531396439
"245","TOTAL.OGNRPUS.M","Number of Rigs",637,1993-05-01,1993,5,0.0408,24.5
"246","TOTAL.OGNRPUS.M","Number of Rigs",695,1993-06-01,1993,6,0.0911,1.2328431372549
"247","TOTAL.OGNRPUS.M","Number of Rigs",741,1993-07-01,1993,7,0.0662,-0.273326015367728
"248","TOTAL.OGNRPUS.M","Number of Rigs",797,1993-08-01,1993,8,0.0756,0.141993957703928
"249","TOTAL.OGNRPUS.M","Number of Rigs",848,1993-09-01,1993,9,0.064,-0.153439153439153
"250","TOTAL.OGNRPUS.M","Number of Rigs",860,1993-10-01,1993,10,0.0142,-0.778125
